Emotion,Text
anger,Because I am the Captain of a basketball team I usually organise  a roster system so that everyone in the team can have a turn at  doing either a duty or a ref. A lot of the time the girls can't  be bothered or just forget - I usually have to fill in.     
sadness,So as to be closer to the university I have left home and moved  into Auckland. It now seems as if I have left home - especially  my family - forever.     
disgust,A friend of mine goes out with this guy. She sleeps with him but  is quite happy for him to play around - as well as herself.     
guilt,I did not attend a social studies observation class for 1 whole  week (I am a student trainee teacher). Anyway the other teachers  thought this was okay because the teacher I was supposed to  observe was not well liked. The teacher was in fact really nice  to me - but I wanted to get out of teaching a hard topic he had  given me.     
joy,Passing my pharmacy exams which meant my tertiary education for  pharmacy completed.     
fear,When I was in a car with my parents and friends and we had to  back up (reverse) pass a river which when I recall it (I was only  about 5 yrs) seemed we were going to fall in and drown.     
anger,When my boyfriend wouldn't dance with me on my graduation night  because he thought I could dance with my friends who were  friendly.     
sadness,When my sister (really my niece) died of cancer at the age of 2  yrs after I took her to the doctor at the age of 1 and he  diagnosed it.     
disgust,My brother gave me a beating because he could not beat me  verbally.     
shame,I found I was pregnant and unmarried.     
guilt,When I had to go to reconciliation before converting to  Catholicism but then once received - o.k.     
joy,Joy for me is when all my family gather around home for special  occasions as Christmas etc. It really gives me joy to see my  family and relatives and to observe natures productivity process  which have been going on for centuries.     
fear,I had this experience of fear when few people were fighting at a  social one night     
anger,Never really had the experience just yet - N/A.     
sadness,This occurred when my girlfriend and I have to finish our  relationship due to some circumstances between her and her  family. I was really sad     
disgust,I'm very disgusted when I see people abusing their body with  drugs and alcohol. They take advantage of these things usually  for an excuse for the fantasies which they like and so they do  things stupidly and unjustly.     
guilt,This I experienced when going around with more than one girl.     
joy,Letting Jesus take control of my emotions i.e.     
fear,Had fear of losing husband.     
anger,When present boyfriend's mother approached my parents and self -  to leave her son alone - as she did not want me for a future  daughter-in-law.     
sadness,When boyfriend could not stand up to his mother or for himself.     
disgust,Disgusted with boyfriend's mother - her overpowering     
shame,When ditched - divorced by husband.     
guilt,When I had to lie about my age to be accepted as a member of a  group.     
joy,My cousin asked me to be a bridesmaid for her. This made really  happy because I was adopted into the family and her asking me  made me realise that she saw me as a cousin and not just another  person. There were other cousins she could have asked but she  asked me.     
fear,That if ever I was really naughty I would be sent away from my  Mum and Dad to another family. I was fostered from age 5 and  didn't get to Mum and Dad until I was 6 and then legally adopted  at 14.     
anger,(1) My father died. (2) My natural father contacted me a year  after my father died and this angered me more as I thought he  should be dead and not my father.     
sadness,My father died. I was away at the time and did not know until two  days after.     
disgust,A child told me she had been sexually abused by her step-father.  I only knew the child and had not come into contact with either  parent. I tried to do what was best for the child. The event and  the stepfather disgusted me.     
shame,When my natural parents name would show up on papers and not my     
guilt,I lied to my mother in the sixth form she said she would ring to  find out and I had to tell her I had lied.     
joy,Joy at meeting a woman I love very much.     
fear,When approached by a gang of youths in town at night.     
anger,When a man     
sadness,After my father died suddenly of a heart attack.     
disgust,When a man spoke very sexistly in the company of some friends of  mine.     
shame,When I went to explain to a lecturer whom I liked that the work  expected of me was not going to be in.     
guilt,When I masturbated in my room.     
joy,When my lover and I felt like we had gone full circle. And our  relationship was new     
fear,My daughter was 2 yrs she went up to a colt tried to hit it. It  turned on her and kicked her over the heart     
anger,My anger is with men     
sadness,The saddest I've ever been was when my lover was killed     
disgust,With the N.Z. Rugby Union wanting to send the All Blacks to South  Africa.     
shame,That my brother and father are into alcohol     
guilt,When I betrayed my lover     
joy,A good friend     
fear,I walked up the main street of Auckland at 10 o'clock at night. I  expected it to be very active with people     
anger,Someone in my family (my brother I suspected) ate a bun which I  had made for myself. It was during a long telephone call after I  had just made it and put it in the oven warming drawer.     
sadness,Sitting in a bus     
disgust,Having moved into a flat within the last week I felt some disgust  that a bathroom tap had been left to drip with a faulty fawcet.     
shame,I criticised an action of my mother and for the first time she  genuinely took notice of it. I felt shame that I was almost  taking the part of a husband     
guilt,I felt that I contributed to a possible rift in the relationship  between a boy and girl soon to be married     
joy,My friend replying to my letter and again saying he was attracted  to me and suggesting we write     
fear,Being sexually assaulted (not rape     
anger,I live by myself and a few weeks ago was woke by a man on the end  of my bed coming up my bed at me. I was really angry     
sadness,When my grandmother died - I wasn't sad so much that she'd died  because she was old     
anger,When during a social evening with my father     
sadness,When the girl whom I have lusted after expressed reciprocal  feelings and then days later changed her mind.     
disgust,When a close friend wilfully cheated me.     
shame,While intoxicated I invaded someone's (a girl's) personal space  to a large extent.     
guilt,While intoxicated I damaged my sister's car in a minor way and  someone elses in a minor way.     
joy,Girlfriend arriving back from overseas and picking her up from  airport. When she finally appeared from customs and we came in  contact again.     
fear,Fear of punishment for having broken an item of value to my  parents.     
anger,That a friend had been badly beaten and stabbed many times and  the person that did it got away without any punishment from the  law.     
sadness,The death of an animal we had reared.     
disgust,Finding that a girlfriend of mine was a prostitute and had been  seeing many others during our relationship.     
shame,Not having owned up to the responsibility an incident where  family car received minor damage.     
guilt,Had started a relationship and did nothing to keep it up     
joy,The feeling of joy when again I had confessed my sin and  experienced God's forgiving grace and cleansing power - total  enlightenment and freedome - bliss.     
fear,Riding through a bush fire on an island of Australia - on a  pushbike as a little boy - all alone     
anger,When bicycling along     
sadness,My cat was sick and I had to take him to the vet to be put down -  no one else there to do it.     
disgust,When someone I had had a relationship (purely sexual) with came  up to me after I had used her and acted as if nothing had  changed.     
shame,When a close friend entrusted me with a secret and I let the cat  out of the bag.     
guilt,Making a sexual pass at my cousin with whom I have a very close  personal relationship.     
joy,First time I slept with my present girlfriend. Had been best  friends for a year but had been hesitant about getting involved  emotionally.     
fear,Waiting for a taxi - when within 1/2 an hour two separate people  challenged me to fight for no apparent reason except they were  drunk.     
anger,Deliberately provoked by someone close. Angered by the  deliberation not the provocation.     
sadness,My girlfriend let me down badly 3 times in one week. These  instances summed up all the negative aspects of our relationship  which at the time seemed doomed to fail.     
disgust,A close friend took part in a racist violent action.     
shame,Cannot recall the emotion with any force.     
guilt,Slept with someone close to my girlfriend and myself.     
joy,Hearing that I had been successful in getting a position whereby  my financial     
fear,When I decided to leave my steady     
anger,When a close friend failed to live up to the expectations I had  of him - thereby causing pain to his spouse. I believe that my  anger was probably a reaction of fear that I wouldn't be able to  live up to my own expectations.     
sadness,Departure of a very close friend - for a long stay overseas     
disgust,I get disgusted with the inherent racist attitudes of my  brother-in-law in putting down various ethnic groups and also my  unwillingness to challenge him about these attitudes in order to  keep the peace.     
shame,My failure to provide the appropriate emotional/spiritual level  to a sexual relationship that had a large physical content. Born  out of inconsistency with my personal beliefs and value shame at  largely using this sexual partner.     
guilt,When I deliberately engineered a situation to cause tension  between friends so as to bolster the impression one of them had  of me !     
joy,Hearing Fran Wilde introduce the Bill.     
fear,Being harrassed for being gay; suggestions of being physically  beaten - acting as informal bouncer in a gay bar.     
anger,Landlord putting up rents sneakly and slimily.     
sadness,Listening and watching a tape of someone with AIDS being  prejudiced against at a counselling course on AIDS with 20  others.     
disgust,Hearing Norman Jones get hysterical in Parliament about law  reform (on the radio - listening with 2 others).     
shame,Watching Muldoon act as my P.M.     
guilt,Adolescent guilt growing up feeling \bad     
joy,Won a prize for effort.     
fear,Assaulted by drunken neighbour.     
anger,I was playing in a football tournament and saw the rules openly  disregarded.     
sadness,Death of brother.     
disgust,Reading literature on AIDS/homosexuality.     
shame,I am ashamed at myself sometimes when I am working with  handicapped people and don't wish to be seen in public with them.     
guilt,I was late meeting someone for an appointment.     
joy,I was feeling really low - had been a series of fights with my  siblings     
fear,I was watching a movie alone - it was a horror movie. The music  was a deep pulsing type - not really music. And a light flashed  on and off. It was in the complete darkness of a movie theatre  that was almost empty.     
anger,My sister and I were fighting as usual. She's older tham I am     
sadness,My paternal grandmother had died. We weren't close but she was  blood. I didn't cry but I was sad     
disgust,My older sister used to pick on my brothers and sisters all of  whom were younger than her. On one occasion my brother did  something my sister didn't like. A full-scale battle began.     
shame,My first real experience with a boy. We were alone. I was quite  young and pretty naive and he was pretty crude and real     
guilt,I was using my sister's stereo while everyone was out. I know she  wouldn't want me to and I would get into trouble if she found  out. But she was only partly justified in forbidding me to use  it. She never found out.     
joy,Winning a rowing race at a Karapiro regatta. With 7 other  friends.     
fear,Being alone in Europe and having to catch a train and bus to the  airport     
anger,At school teacher for not allowing us to go out on New Year's Eve  when on a class trip overseas.     
sadness,I was in a car accident on the way back from a weekend rowing  regatta we'd won. 5 others were in the car. I thought I'd never  be able to row again.     
disgust,Our boarder burping after meals !     
shame,Felt ashamed when in a group conversation and could not  understand words or comprehend the topic of discussion.     
guilt,Guilty when I hadn't walked my dog for quite a few days and had  given her no attention.     
joy,When I won a position on the track-team for the trans-tasman  games when I was eleven.     
fear,When I was jumped by three men in a deserted area.     
anger,Once a person in authority (school teacher) was telling blatant  lies about me and the headmistress would not let me defend  myself. She was also telling lies about other members of my  family.     
sadness,When my mother died.     
disgust,When somebody who had been a bully and had acted cruelly to  others who were unable to defend themselves was taken down a few  notches and he began to grovel. I was disgusted with his  grovelling and the manner in which he had treated others.     
shame,When I was twelve I was babysitting some children but I did not  act very responsibly and one of them was injured.     
guilt,When something went wrong for me I lashed out at someone else  whom I loved and who was not in any way responsible for what had  happened (my sister).     
joy,Easter holiday - I had been working weekends and had just left.     
fear,Haven't been frightened for ages.     
anger,I visited a special education school. The headmaster applied a  policy of strict positive - negative reinforcement to the  children involved. Children who measured up to his standards were  made a fuss of - children who didn't were ignored.     
sadness,I felt sad with the two situations I described before. The cat  and the school. Sadness was intermingled with the other feelings.     
disgust,Next door nieghbour ran over his cat in driveway     
shame,Haven't felt shame for ages.     
guilt,I borrowed a friend's books and forgot I had them     
joy,Getting my kitten     
fear,Obscene phone call where the person knew my name.     
anger,At work being shifted to another area.     
sadness,Enrolling at varsity     
disgust,Noticing my flat had maggotts !     
shame,A serious drug error while nursing that I knew I was responsible  for (patient lived     
guilt,Forgot to turn up on prescribed day for jury service.     
joy,When I was finally able to return to a job that I enjoyed doing  after several months absence (I was not needed during this time).     
fear,When I was attacked by a teenage boy and had my wallet stolen.     
anger,Someone who was speeding was forced to slow down when I pulled  out onto the road and proceeded to abuse me at the next set of  traffic lights.     
sadness,When someone I was close to became a paranoid schizophrenic and I  was unable to see this person because of the situation.     
disgust,When someone whom I considered my friend     
shame,When some unforgiving acquaintance dragged up an old and rather  embarassing situation from my past.     
guilt,When I made a mistake at work and when questioned about it  pretended I had nothing to do with the problem.     
joy,At my wedding - standing with the man I love and acknowledging  that fact to members of family and friends.     
fear,As a result of breaking the indicator light as mentioned  for guilt.     
anger,Arriving home from work after a long and tiring day to find no  dinner prepared as I had expected.     
sadness,At the death of my husband's father's mother which occurred  during university examinations and therefore I was unable to  attend her funeral.     
disgust,With a Manager who insists on making crude innuendos pertaining  to sex.     
shame,Cannot remember such a situation.     
guilt,Breaking the left hand indicator box by moving too close to  structure.     
joy,Waking in morning (early morning) and having whole day to myself.     
fear,Being driven by friend who suddenly swerved and skidded a little.  It was night and on a long trip. We ended up on side of road.     
anger,Friend (male) hinted that my talking to other men at a pub was  immoral. He implied that I should remain only with my boyfriend  the entire evening.     
sadness,On rising. No apparent reason.     
disgust,"Prolonged \niggling\"" of friend on a single theme which I  considered of no consequence.""    "
shame,Felt I had not appreciated my parents enough. Regretted the  problems I'd caused.     
guilt,"Boyfriend doing cleaning in situation where it was my job to do  it. Later snapped at him over trivial thing. He looked downcast.  I felt guilty - \he's just done all that work for me\"".""     "
joy,When my first niece was born.     
fear,In a flat in Sydney - rough area at home on my own - the flat had  been burgled the night before and no way of locking the door.     
anger,When the bus driver failed to stop and pick me up at a bus stop.     
sadness,When my uncle died of leukemia at age 35.     
disgust,Watching an alcoholic woman who was approaching everyone at the  wharf for cigarettes - a prostitute in Auckland (elderly).     
shame,Stealing money from my parents when I was young.     
guilt,Two timing - going out with 2 guys at once (secretly).     
joy,When I went to the pub with a large group of friends     
fear,Watched a horror movie which involved sexual attacks on women.     
anger,My boyfriend promised to take me to see a game of tennis and rang  saying he was going to the pub with some of his friends instead.     
sadness,My mother was unwell and went for many cancer tests. She spent  time in hospital being opened and closed many times.     
disgust,I was driving along and saw this young guy urinating into the  gutter     
shame,I kicked the dog outside on a cold night because he was annoying  me. The next day he came down with the flu and we thought he was  going to die.     
guilt,I spent all weekend with a friend instead of studying for my  exams.     
joy,Birth of children.     
fear,Being alone at night.     
anger,In a hurry to get to lectures and the car would not start.     
sadness,When grandfather died.     
disgust,Obscene phone calls.     
shame,Being with a close friend     
guilt,Telling white lies.     
joy,Thought had discovered true love.     
fear,Stopped at lights in Mangere late one Friday night on way home  from work. Alone in car when someone came up behind the car and  started banging and shaking it. Light was red and had nowhere to  go until light changed. When green I took off.     
anger,When fired unjustly from a job as casual bar-person. Charged with  giving away free drinks. Not done so and had witnesses to prove  it - both patrons and bar staff. Other staff were supportive.     
sadness,Close friend leave to go overseas for an indefinite period.  Farewell scene at airport.     
disgust,When employer made a pass at me whilst I was at work.     
shame,When caught shoplifting and the police were called in parents  also informed.     
guilt,When caught shop-lifting as for shame.     
joy,Receiving understanding from within self of a subject I had  previously wished to understand better.     
fear,To talk in a meeting - expound my thoughts on a subject. Fear  delayed me acting to do this.     
anger,Towards wife's laziness in not performing her usual duties  because of television watching.     
sadness,Watching suffering in Third World country.     
disgust,Observation of people lost in the profit motive - i.e. business  managers to their actions esp.     
shame,On own reading book. Recall came to mind of slight sexual  exploitation of a female (years ago) i.e. had her on even for  sexual motives.     
guilt,Telling a lie to wife over phone about what I had been working  at.     
joy,Meeting best friend at the airport (boyfriend) who I had missed  terribly.     
fear,Confronted outside a party by some very nasty character -  gesturing to a car full of mean-acting friends - felt in danger.     
sadness,My cat died painfully and slowly.     
disgust,Having unwanted attention paid to me in my place of work -  harrassment (and sexual harrassment) by another worker -  disgusted by his implications.     
shame,Close friend discovered I had deceived them. Felt shame at having  done it and knowing that they knew.     
guilt,Two-timing - going out with person other than guy I was in  relationship with.     
joy,I was very pleased and happy when my older sister came home from  living somewhere out of town and I hadn't seen her for months. We  are very close sisters.     
fear,I was skiing alone and the mountain became covered with mist and  I thought I was lost and was going to panic.     
anger,My parents didn't allow me to go to a social function that all my  friends were attending.     
sadness,While still at school a friend died of cancer     
disgust,At a party my best girlfriend got really drunk and went off with  a guy she knows I really like.     
shame,I was severely reprimanded for a trivial offence in front of  members of my peer group while still at school.     
guilt,Someone asked me to do something and I made up an excuse and said  no. I then went and didn't the same thing with someone else and  hoped the first person never found out.     
joy,When my brother who has been out of New Zealand for 10 years came  to visit with his wife which none of our family had previously  met.     
fear,When I had to give a speech about some historical event     
anger,In arguments with a close friend or relative where my point of  view is completely disregarded.     
sadness,When my grandfather whom I had met only once for 3 weeks     
disgust,I once saw a programme on TV describing how certain wild life  films were made and was disgusted by the treatment of certain  animals in this particular programme of the polar bear.     
shame,The 2nd time someone I had met cared for came over to my house I  was absolutely inebriated and was sick into a bucket.     
guilt,The first time I went away with my boyfriend and lied about where  we were staying.     
joy,When my former boyfriend and I reconciled and he decided that I  was very important to him. I had always wanted us to get back  together again     
fear,When riding in a very fastly-driven car on a lose metal road at a  very late hour - no other cars on road     
anger,When at very short notice I agreed to work in place of a friend  who was sick     
sadness,When I learned that my former boyfriend had become engaged -  although I was glad that he had found what he wanted     
disgust,When reading a newspaper story of a man who had committed  incestuous acts on his two-year old child - the thought that  anyone could do such a thing is abhorrent to me.     
shame,When dropping a carton of boiling soup onto a co-worker's leg -  causing great pain     
guilt,When my sister had the opportunity to do some modelling work. And  I was quite jealous - later on the photographer decided not to  take her photograph     
joy,I did a solo flight from Ardmore to Kaikohe before I got my pilot  licence. I can remember it was gorgeous day and I was on a  natural high     
fear,A friend (female) and I were on holiday on Great Barrier Island  by ourselves. One night we were nearly raped by about 20 locals -  they came to our bach and tried to break the doors down. All of  them were stoned or drunk and we hid under the bunks and were  totally terrified. Eventually these guys gave up and went looking  for us on the beach. We escaped and slept in the bush for 2  nights.     
anger,"I \cooked\"" the engine in my father's car - it was actually his  fault because he hadn't fixed the temperature gauge or told me.  When I finally got home I was absolutely screamed at and the  anger I experienced was over the injustice of it all plus the  huge row which developed."" "
sadness,"This sounds really predictable and usual but it was absolutely  heart-rending at the time. My first lover (I was 15) just rang up  one day and announced that he had found another woman. I never  saw him again and it hurt because I was positive that it was  \TRUE LOVE\"" !!""     "
disgust,I once saw an old man up the road     
shame,When I was 15 my mother discovered various items in my room which  15 year olds aren't usually expected to have - mainly alcohol     
joy,A holiday at a whitesand deserted beach. A cool evening near the  end of summer and we had a fire in the sand - toasted  marshmellows     
fear,Skiing down a very icy slope     
anger,My best friend at school told lies about me to a boy I was seeing  and went out with him herself.     
sadness,I found a baby opposum on the road and took it home and cared for  it for a week. It had to be force-fed and carried in a fur pouch  under my jersey. My father had the vet put it to sleep as he said  they carried diseases.     
disgust,A boyfriend with whom I split up with came over to a friend's  house where I was visiting with a male friend. In a confrontation  in another room he tried to find out if I was aroused by my  friend by feeling my parts.     
shame,I told my primary teacher I hadn't done my homework as my mother  was in a car accident. My teacher rang that night to see how my  mother was - she was fine i.e. no accident !     
guilt,I told my pesent boyfriend that I was an Australian as are my  parents. As the relationship developed I found it harder and  harder to confess and became sure it would end our relationship.  He eventually found out when told in front of me by my mother.     
joy,Winning a race that I had been training for     
fear,When I was very young and we moved as a family to Auckland from  Wellington     
anger,When someone ignores what I am saying or doesn't let me have my  point of view and they monopolise a conversation.     
sadness,When I got into an argument with someone and was very abusive     
disgust,When a close relative got quite drunk. It was a relative that I  had respected for a long time and looked up to as a child.     
shame,When I had come home drunk the day after a party     
guilt,When I crashed by bike into an old lady crossing a road and  knocked her down.     
joy,Listening to the opening bars of Tchaikovsdy's symphony No.2  fourth movement at my sister's wedding.     
fear,As a passenger in a vehicle travelling from the steep side of  Arthur's Pass in the middle of a sleet-storm     
anger,As in sadness (A)     
sadness,A) A documentary in which baby fur seals were being  clubbed/spiked to death by Canadian seal-hunters. Brutally  graphic. B) Description of a disfigured orphaned child in Hiroshima  calling for her mother.     
disgust,"The repression of rioting and non-rioting \Blacks\"" in South  Africa by the police of that \""Democracy\"".""    "
shame,Breaking an implicit promise.     
guilt,At the age of 12 (or so) I stole from a Ranger's fruit tree an  apple. (And eventually was compelled to confess - Dostoersky  would like this).     
joy,Seeing my sister after about 2 years of not seeing her. Only  spent 1 hour or so before she was off overseas with her husband  for 3 months.     
fear,I imagined I heard footsteps up the hall while sleeping in bed  one night by myself in the house.     
anger,Stopped at a Fast Food shop with friends and a few locals wanted  to fight us for no apparent reason. They hit and picked on one of  my friends.     
sadness,My father recently having a heart attack - spending a few months  in hospital.     
disgust,My flatmate and close friend living and sleeping with another  close friend of mine.     
shame,Sleeping with a girl on a Saturday night and then not contacting  her in later days.     
guilt,Stealing money from a milk token jar from a close friend of the  family when visiting.     
joy,Talking with someone I admire a lot.     
fear,Held under water by a large wave and thought I was drowning.     
anger,Came back from surfing to find car broken into and gear and money  stolen.     
sadness,Caused a family disturbance.     
disgust,Friends calling me fat - pear shaped in front of a nice girl.     
shame,When I considered writing a load of crap for this emotion.     
guilt,Beating my brother up.     
joy,"I was \best man\"" at my brother's wedding a year ago.""     "
fear,Mugged while on holiday in the U.S.A.     
anger,"I am one of four directors of a company. We inherited land held  by our family - ours is the 5th generation. A \democratic\""  decision was made to stap-bank an area of mangroves.""    "
sadness,Social situation - at the pub - a close friend of 2 years told  the group around us of advances I had made.     
disgust,A drunk walked out in front of a car at night. Both lower legs  were broken. His shoe was thrown about 50 yards after the  accident.     
shame,My father died 4 years ago     
guilt,My grandmother wanted me to help her. I was driving a tractor  pulling a dead branch off a tree. I told her she didn't respect  me.     
joy,Hearing my girlfriend accept my offer of marriage.     
fear,Canoeing across harbour in winds - 20 knots and rising seas.     
anger,Brother continually interupting while I was talking on the  telephone.     
sadness,Hearing of the death of a friend who had been skiing.     
disgust,Flicking through a magazine showing pictures of homosexual men  committing various acts.     
shame,Being caught by parents in a compromising situation with  girlfriend.     
guilt,Describing to mother how a hole in the wall had appeared while I  was babysitting.     
joy,When I found out I had passed all of my university exams.     
fear,Almost crashing into the back of a car while driving along the  motorway on my motorcycle.     
anger,When my girlfriend of two years told me it was all over.     
sadness,A person I really like left for overseas for a few months     
disgust,I deliberately avoided a person who I wanted to hurt     
shame,I passed on some gossip that was untrue and cause two friends to  have a fight who were already experiencing difficulties with each  other.     
guilt,Missing lectures and avoiding university work for no reason when  it had to be done.     
joy,When I received my U.E. accredited as I was totally unexpecting  it and I was so happy.     
fear,I went to see a movie and I went with a friend     
anger,"When my flatmate put me down because she \thought\"" she was better  than me    "
sadness,When a very close friend of mine went into hospital for a major  operation and I couldn't see her for a while as I was not a  relative she had no relatives in N.Z.     
disgust,One of my very good friends came to me for advice as her  boyfriend had been hitting her and beating her quite harmfully.     
shame,When I let my girlfriend use my essay to help her to write hers  and the tutor found them alike.     
guilt,When I had to lie to my boyfriend so that he wouldn't suspect I'd  bought him a xmas present as expensive as I had.     
joy,I received an assignment back     
fear,I was walking home one night (after getting a bus to my town)  when I was confronted by a group of males (about 6)     
anger,I lent a text-book to a person I did not know very well     
sadness,At the beginning of the year I moved to a new city - I felt sad  as I had to leave many friends and family members behind.     
disgust,I read a newspaper article about dogs being stolen in order to  use them for fighting purposes.     
shame,I was amongst a group of people talking about how the Maori  people were stirrers and causing trouble in our country. I felt  shame to be a pakeha when other pakehas had such narrow  conservative views.     
guilt,I took my father's car to church one Sunday (I told them that's  where I was going ) I decided instead to go for a drive to the  beach - on the way I got a puncture.     
joy,Getting University Entrance accredited and arriving home from  boarding school on accrediting leave.     
fear,Thinking that I had been seen smoking at school by a teacher -  waiting to be summoned to the headmaster's office.     
anger,When my mother rejected my boyfriend and made unfair judgements  on him.     
sadness,At my grandfather's funeral - My grandparents virtually raised me  as my mother was a solo-parent and had to work.     
disgust,Watching a TV documentary on seal clubbing.     
shame,I ate very fattening food in front of my boyfriend who would like  me to lose weight. I am supposedly pursuing a modelling career  but first I must lose weight. I had been trying to diet.     
guilt,I let my pet budgie loose to fly around my room one afternoon. A  few hours afterwards I found he was still free     
joy,The birth of my first child.     
fear,A large german shepherd dog ran and barked at me (he didn't bite  fortunately).     
anger,Most recently when the chairman at the New Zeeland Rugby Union  announced that the All Blacks' would accept the invitation of  South Africa to play rugby in that country.     
sadness,When I was told a friend's baby had been born with only partial  sight. This was her first child and she was not young (the mother  that is).     
disgust,When I first saw the state of a cafeteria in the grounds of the  university. Due to students own lack of concern for the  environment in which they eat and drink. Rubbish and spilled tea  and coffee left everywhere.     
shame,When I as a Pakeha (white) new Zealander     
guilt,When my husband discovered I was having an affair with another  man.     
joy,I was biking with my boyfriend     
fear,I was hitchhiking and was picked up by a stranger he drove into  the woods and wanted to make love with me     
anger,In a discussion the leader wanted to stop because she was of the  opinion that we were not involved and she misjudged our reactions  as negative. We however only posed several questions which she  couldn't answer.     
sadness,When my grandmother died. She stayed with us until I had the age  of 10. When she died I was 13 and I remember the moment after the  funeral: I sat on the table and cried.     
disgust,When I heard about the disaster in Bophal (India).     
shame,Once in a public ladies room     
guilt,In a playground I was playing at the seesaw with a little niece.  I wanted to stop but nobody came to help me. When I got off     
joy,When passing the final examinations for social worker.     
fear,Sleeping alone in a tent     
anger,A man kept a seat taken by putting his coat on it after a while  the chair was still empty     
sadness,When the relationship with my girlfriend broke up.     
disgust,A piece of work was marked as bad by the teachers I and some  fellow students didn't agree with their vague criticism. I felt  myself taken in by the teachers and felt disgust.     
shame,Some weeks ago I experienced a day that everything went wrong I  broke several things I felt very ashamed for I am not a sloven.     
guilt,I had made an appointment with a girl to go to the movies     
joy,A friend came to tell me that her father invited me to go on  holiday with them in Benidorm otherwise I could not afford to go  on holiday.     
fear,At the age of 12 years I always had to take care of my little  brother and sister I never could sleep then. I always imagined  creepy men sneaking into our house.     
anger,The landlord had selected a new lodger on her own     
sadness,It was a complex situation concerning a relationship with a  boyfriend     
shame,I saw a terrible accident happen and I laughed a lot of the  fright and because I was nervous.     
guilt,My mother wants to talk very often about her life. I dislike this  because she always talks negatively about the same people  whatever I do it doesn't help.     
joy,At the moment when I heard the result of an examination and it  proved that I succeeded the second year of my study.     
fear,I have a fobic anxiety for elevators. This anxiety is worst at  the moment when the doors have to open. I have it often in the  elevator at our university.     
anger,When someone accuses me without reason and is not willing to  listen to me.     
sadness,My boyfriend decided to make an end to our relationship.     
disgust,A person I know who tells lies and so pretending to be better  than she is.     
shame,When I am in an auditorium with people and I ask a silly question  so that everyone starts to laugh.     
guilt,I moved to Nijmegen for my study. Soon after this my mother had  to be admitted in hospital because of cardiac compliants. I knew  that my moving was an important reason for this.     
joy,I can't give one description here. I often feel joyful when I  have done things good in relation to other people especially when  my friend says he loves me and I also tell him that I love him.     
fear,I was afraid when my first boyfriend threatened to make an end to  our relationship because he didn't love me enough while I loved  him very much.     
anger,A good friend deceived me. Because of that little quarrel our  relationship finished     
sadness,I was very sad when my first boyfriend finished our relationship.     
disgust,I was once raped (one year ago) by a man who was a lot older than  me and whom I just met. Maybe it wasn't rape but the man wanted  more than I wanted to give him since there were other people in  vicinity.     
shame,I felt shame when I didn't study enough for my exams and as a  result I failed. I then invented idle stories to talk it good for  myself and the others.     
guilt,I felt guilty when I once went out with another boy and made love  with him while I had a close boyfriend.     
joy,When my boyfriend came back after being away for 10 days.     
fear,When I was sitting in a car next to a man who was masturbating.     
anger,When my mother told things to my sister     
sadness,Tonight in bed when I realised how bad my relationship with my  friend was.     
disgust,When I was in Eindhoven on an Exhibition of Hernan Nitsche     
shame,When I made an end on a relationship after three years.     
guilt,That I didn't want my friend to leave on holiday for 10 days  because I thought I would miss him. I was constantly trying to  persuade him.     
joy,When I was making music together with my friend. It sounded very  good and we were very satisfied.     
fear,When my cat ran under a car and came home wounded. He could  hardly walk. I didn't dare to go to a veterinarian because I was  afraid he would kill him.     
anger,I had to unscrew something on my car. I didn't succeed after two  afternoons of trying. A feeling of anger built up itself.     
sadness,Losing my girlfriend who made an end to our relationship. By this  I lost an important source of support     
disgust,A few days ago I saw two dandy girls of my age. I disliked their  clothes and their way of doing.     
shame,During carnaval I danced for a few minutes normally I don't dance  because I am rigid in my moving around during a dance     
guilt,I had a girlfriend which I used to call regularly. Then I didn't  phone her for a while. At a certain moment I felt a little  tension which became worse.     
joy,At an important moment in a volleyball game we made a point and  by this we won a set from a much stronger competitor.     
fear,When I went out with my dog in a forest late at night when we  were on a camping.     
anger,I had an appointment with someone at a certain time. The other  person didn't appear.     
fear,When I entered the operation theatre and underwent a difficult  operation.     
anger,When my friends left without waiting for me     
sadness,When they gave away my dog to other people without my knowledge.     
disgust,When I had to eat scraps from a dust-bin     
shame,At the airport     
guilt,When I took a car which was not mine     
joy,When the Real Madrid team of basket ball qualified for the final  of the Europe Cup at Athens.     
fear,On the scenic railway at the fairground.     
anger,At having an argument with a stranger     
sadness,[ The same as in guilt.]     
disgust,When I entered a toilet in a bar and it stank.     
joy,The day I finished my military service.     
sadness,The day I left my first girlfriend.     
disgust,One day I was in the countryside with several friends     
shame,When I got my fingers stuck in one of the side holes of the door     
guilt,I ran over my dog with a bicycle when I was carrying him tied to  the handle bar.     
joy,When I won the first prize in a cross country race.     
fear,I found myself involved in a fight in which a person died and I  had to intervene with some risk.     
anger,An argument among friends in which my opinions on the way to  spend spare time were disapproved.     
sadness,I was forced to leave an unforgettable friend.     
disgust,I saw the gare of a prison.  This gare and the building were in  deplorable condition and were full of rubbish.     
shame,A mishap suffered on misinterpreting a girl's proposition.     
guilt,I thought that I could have avoided the above situation (the one  in fear) if I had concentrated more on my work     
joy,When I passed the last exam     
fear,Before I had a tooth pulled out.  I was very upset and ill.     
anger,When the Real Madrid football team lost against the inter in the  U.E.F.A cup.     
